original_names,updated_names,coral_type
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_sp,seriatopora_sp,hard_coral
siderastrea_radians,siderastrea_radians,hard_coral
siderastrea_savignyana,siderastrea_savignyana,hard_coral
siderastrea_siderea,siderastrea_siderea,hard_coral
siderastrea_stellata,siderastrea_stellata,hard_coral
sinularia,sinularia_spp,octocoral
sinularia_ grandilobata,sclerophytum_grandilobatum,octocoral
sinularia_arborea,sclerophytum_arboreum,octocoral
sinularia_arborea,sclerophytum_arboreum,octocoral
sinularia_arborea,sclerophytum_arboreum,octocoral
sinularia_brassica,sinularia_brassica,octocoral
sinularia_brassica,sinularia_brassica,octocoral
sinularia_brassica,sinularia_brassica,octocoral
sinularia_capillosa,sclerophytum_capillosum,octocoral
sinularia_capillosa,sclerophytum_capillosum,octocoral
sinularia_capillosa,sclerophytum_capillosum,octocoral
sinularia_capillosa,sclerophytum_capillosum,octocoral
sinularia_compressa,sclerophytum_polydactylum,octocoral
sinularia_crassa,sclerophytum_crassum,octocoral
sinularia_crassa,sclerophytum_crassum,octocoral
sinularia_crassa,sclerophytum_crassum,octocoral
sinularia_crassa,sclerophytum_crassum,octocoral
sinularia_daii,sclerophytum_daii,octocoral
sinularia_depressan,sclerophytum_depressum,octocoral
sinularia_discrepans,sclerophytum_discrepans,octocoral
sinularia_erecta,sclerophytum_erectum,octocoral
sinularia_erecta,sclerophytum_erectum,octocoral
sinularia_facile,sclerophytum_facile,octocoral
sinularia_facile,sclerophytum_facile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
sinularia_flexibilis,sclerophytum_flexibile,octocoral
